id;gift_name;descripption;unit_price
1;Algerian Dinar;application Buckinghamshire;24400
2;withdrawal;HTTP bypassing Chips;70178
3;Tactics function Borders;Avon;98042
4;Awesome Granite Ball Home Loan Account Pants;Officer;94422
5;Wooden;hacking Factors integrated;93051
6;Chief;GB functionalities;40990
7;neural;calculating;22717
8;index system-worthy Licensed;violet;43608
9;Avon District Investment Account;Virgin Islands, British Sudan payment;86365
10;deposit Vietnam International;Frozen Steel Iranian Rial;89675
